parent,child,premise,conclusion,label
toy,lunchbox,toys are daxable,lunchboxes are daxable,no
home decor,doorknocker,home decor is daxable,doorknockers are daxable,yes
breakfast,yogurt,breakfasts are daxable,yogurts are daxable,yes
food,gourd,food is daxable,gourds are daxable,no
seafood,sushi,seafood is daxable,sushi is daxable,no
animal,goat,animals are daxable,goats are daxable,yes
footwear,scallion,footwear is daxable,scallions are daxable,no
animal,turtle,animals are daxable,turtles are daxable,yes
home decor,knob,home decor is daxable,knobs are daxable,no
medical equipment,clipper,medical equipment is daxable,clippers are daxable,no
dessert,donut,desserts are daxable,donuts are daxable,yes
container,backpack,containers are daxable,backpacks are daxable,yes
vehicle,train,vehicles are daxable,trains are daxable,yes
vehicle,canoe,vehicles are daxable,canoes are daxable,yes
water vehicle,canoe,water vehicles are daxable,canoes are daxable,yes
food,rooster,food is daxable,roosters are daxable,no
food,blower,food is daxable,blowers are daxable,no
food,baklava,food is daxable,baklavas are daxable,yes
food,macaroni,food is daxable,macaroni is daxable,yes
mammal,platypus,mammals are daxable,platypuses are daxable,yes
livestock,sheep,livestocks are daxable,sheeps are daxable,yes
clothing,brace,clothing is daxable,braces are daxable,no
animal,sausage,animals are daxable,sausages are daxable,no
breakfast,stew,breakfasts are daxable,stew is daxable,no
clothing,tiara,clothing is daxable,tiaras are daxable,yes
candy,banana split,candy is daxable,banana splits are daxable,no
food,macadamia,food is daxable,macadamia nuts are daxable,yes
animal,guitar,animals are daxable,guitars are daxable,no
clothing,toga,clothing is daxable,togas are daxable,yes
insect,whisk,insects are daxable,whisks are daxable,no
game,game,games are daxable,games are daxable,yes
food,ravioli,food is daxable,ravioli is daxable,yes
medical equipment,kneepad,medical equipment is daxable,kneepads are daxable,no
animal,music box,animals are daxable,music boxes are daxable,no
mammal,meerkat,mammals are daxable,meerkats are daxable,yes
food,prune,food is daxable,prunes are daxable,yes
tool,sandpaper,tools are daxable,sandpapers are daxable,yes
electronic device,amplifier,electronic devices are daxable,amplifiers are daxable,yes
electronic device,computer screen,electronic devices are daxable,computer screens are daxable,yes
toiletry,floss,toiletries are daxable,flosses are daxable,yes
vegetable,okra,vegetables are daxable,okra is daxable,yes
footwear,iceskate,footwear is daxable,iceskates are daxable,yes
candy,whip,candy is daxable,whips are daxable,no
clothing,crown,clothing is daxable,crowns are daxable,yes
home decor,teacup,home decor is daxable,teacups are daxable,no
animal,saw,animals are daxable,saws are daxable,no
animal,file,animals are daxable,files are daxable,no
fruit,cauliflower,fruits are daxable,cauliflowers are daxable,no
container,station wagon,containers are daxable,station wagons are daxable,no
home decor,statue,home decor is daxable,statues are daxable,yes
clothing,ski boots,clothing is daxable,ski boots are daxable,yes
plant,fan,plants are daxable,fans are daxable,no
animal,blowfish,animals are daxable,blowfish are daxable,yes
animal,sifter,animals are daxable,sifters are daxable,no
office supply,tape,office supplies are daxable,tapes are daxable,yes
sea animal,octopus,sea animals are daxable,an octopus is daxable,yes
container,paper bag,containers are daxable,paper bags are daxable,yes
breakfast,anvil,breakfasts are daxable,anvils are daxable,no
headwear,hat,headwear is daxable,hats are daxable,yes
food,leggings,food is daxable,leggings are daxable,no
plant,poppy,plants are daxable,poppies are daxable,yes
school supply,calculator,school supplies are daxable,calculators are daxable,yes
musical instrument,camera,musical instruments are daxable,cameras are daxable,no
toy,xylophone,toys are daxable,xylophones are daxable,no
food,string cheese,food is daxable,string cheese is daxable,yes
clothing,melon,clothing is daxable,melons are daxable,no
garden tool,clipper,garden tools are daxable,clippers are daxable,yes
food,glove,food is daxable,gloves are daxable,no
toiletry,lip balm,toiletries are daxable,lip balms are daxable,yes
fruit,raspberry,fruits are daxable,raspberries are daxable,yes
mammal,pliers,mammals are daxable,pliers are daxable,no
seafood,rickshaw,seafood is daxable,rickshaws are daxable,no
medical equipment,wheelchair,medical equipment is daxable,wheelchairs are daxable,yes
furniture,cabinet,furniture is daxable,cabinets are daxable,yes
electronic device,lock,electronic devices are daxable,locks are daxable,no
bird,gazelle,birds are daxable,gazelles are daxable,no
protective clothing,hummus,protective clothing is daxable,hummus is daxable,no
insect,dragonfly,insects are daxable,dragonflies are daxable,yes
water vehicle,papaya,water vehicles are daxable,papayas are daxable,no
tool,pedal,tools are daxable,pedals are daxable,no
clothing,life jacket,clothing is daxable,life jackets are daxable,yes
home decor,tapestry,home decor is daxable,tapestries are daxable,yes
vehicle,boat,vehicles are daxable,boats are daxable,yes
food,jetski,food is daxable,jetskis are daxable,no
water vehicle,seaplane,water vehicles are daxable,seaplanes are daxable,yes
clothing,tortellini,clothing is daxable,tortellini is daxable,no
food,ladybug,food is daxable,ladybugs are daxable,no
home decor,jigsaw puzzle,home decor is daxable,jigsaw puzzles are daxable,no
animal,lobster,animals are daxable,lobsters are daxable,yes
tool,pasta,tools are daxable,pasta is daxable,no
home decor,organ,home decor is daxable,organs are daxable,no
food,chime,food is daxable,chimes are daxable,no
weapon,spear,weapons are daxable,spears are daxable,yes
auto part,bumper,auto parts are daxable,bumpers are daxable,yes
tool,inkwell,tools are daxable,inkwells are daxable,no
food,gumball,food is daxable,gumballs are daxable,yes
container,trashcan,containers are daxable,trashcans are daxable,yes
seafood,dumpling,seafood is daxable,dumplings are daxable,no
food,hot chocolate,food is daxable,hot chocolate is daxable,no
plant,magnifier,plants are daxable,magnifiers are daxable,no
container,panda,containers are daxable,pandas are daxable,no
medical equipment,insole,medical equipment is daxable,insoles are daxable,no
toy,pinwheel,toys are daxable,pinwheels are daxable,yes
clothing,pajamas,clothing is daxable,pajamas are daxable,yes
toiletry,hairpin,toiletries are daxable,hairpins are daxable,no
container,shelf,containers are daxable,shelves are daxable,no
kitchen equipment,mixer,kitchen equipment is daxable,mixers are daxable,yes
mammal,ratchet,mammals are daxable,ratchets are daxable,no
mammal,donkey,mammals are daxable,donkeys are daxable,yes
weapon,baseball bat,weapons are daxable,baseball bats are daxable,yes
food,coleslaw,food is daxable,coleslaws are daxable,yes
food,pizza,food is daxable,pizzas are daxable,yes
weapon,letter opener,weapons are daxable,letter openers are daxable,no
animal,duct,animals are daxable,ducts are daxable,no
clothing,boot,clothing is daxable,boots are daxable,yes
breakfast,breakfast,breakfasts are daxable,breakfasts are daxable,yes
mammal,snake,mammals are daxable,snakes are daxable,no
food,caviar,food is daxable,caviar is daxable,yes
food,sifter,food is daxable,sifters are daxable,no
electronic device,gearshift,electronic devices are daxable,gearshifts are daxable,no
animal,chessboard,animals are daxable,chessboards are daxable,no
seafood,dryer,seafood is daxable,dryers are daxable,no
outerwear,jeans,outerwear is daxable,jeans are daxable,no
office supply,staple,office supplies are daxable,staples are daxable,yes
medical equipment,defibrillator,medical equipment is daxable,defibrillators are daxable,yes
furniture,dollhouse,furniture is daxable,dollhouses are daxable,no
auto part,windshield,auto parts are daxable,windshields are daxable,yes
food,noodle,food is daxable,noodles are daxable,yes
candy,caramel,candy is daxable,caramels are daxable,yes
animal,lamb chop,animals are daxable,lamb chops are daxable,no
medical equipment,sandwich,medical equipment is daxable,sandwiches are daxable,no
mammal,dalmatian,mammals are daxable,dalmatians are daxable,yes
mammal,scanner,mammals are daxable,scanners are daxable,no
water vehicle,jetski,water vehicles are daxable,jetskis are daxable,yes
food,quiche,food is daxable,quiches are daxable,yes
food,gondola,food is daxable,gondolas are daxable,no
tool,roof rack,tools are daxable,roof racks are daxable,no
animal,raccoon,animals are daxable,raccoons are daxable,yes
animal,cufflink,animals are daxable,cufflinks are daxable,no
animal,caterpillar,animals are daxable,caterpillars are daxable,yes
toy,glue,toys are daxable,glue is daxable,no
auto part,kiwi,auto parts are daxable,kiwis are daxable,no
food,measuring cup,food is daxable,measuring cups are daxable,no
accessory,earring,accessories are daxable,earrings are daxable,yes
condiment,soy sauce,condiments are daxable,soy sauce is daxable,yes
vegetable,garlic,vegetables are daxable,a garlic is daxable,yes
food,broccoli,food is daxable,broccoli is daxable,yes
electronic device,odometer,electronic devices are daxable,odometers are daxable,no
tool,mustard,tools are daxable,mustard is daxable,no
tool,sword,tools are daxable,swords are daxable,no
food,knife,food is daxable,knives are daxable,no
office supply,tweezers,office supplies are daxable,tweezers are daxable,no
jewelry,earring,jewelry is daxable,earrings are daxable,yes
electronic device,light switch,electronic devices are daxable,light switches are daxable,no
tool,vacuum,tools are daxable,vacuum cleaners are daxable,yes
auto part,sunroof,auto parts are daxable,sunroofs are daxable,yes
clothing,bolo tie,clothing is daxable,bolo ties are daxable,yes
food,jelly bean,food is daxable,jelly beans are daxable,yes
accessory,spareribs,accessories are daxable,spareribs are daxable,no
clothing,hairpin,clothing is daxable,hairpins are daxable,no
livestock,light switch,livestocks are daxable,light switches are daxable,no
vehicle,bomb,vehicles are daxable,bombs are daxable,no
musical instrument,turntable,musical instruments are daxable,turntables are daxable,no
fruit,papaya,fruits are daxable,papayas are daxable,yes
vegetable,chive,vegetables are daxable,chives are daxable,yes
food,peppermint,food is daxable,peppermints are daxable,yes
home decor,pasta,home decor is daxable,pasta is daxable,no
food,pita,food is daxable,pita is daxable,yes
home decor,urn,home decor is daxable,urns are daxable,no
fruit,corn,fruits are daxable,corn is daxable,no
toiletry,faucet,toiletries are daxable,faucets are daxable,no
animal,alligator,animals are daxable,alligators are daxable,yes
clothing,stockings,clothing is daxable,stockings are daxable,yes
food,fly,food is daxable,flies are daxable,no
animal,deer,animals are daxable,deers are daxable,yes
furniture,desk,furniture is daxable,desks are daxable,yes
office supply,needle,office supplies are daxable,needles are daxable,no
animal,piano,animals are daxable,pianos are daxable,no
medical equipment,eye patch,medical equipment is daxable,eye patches are daxable,yes
electronic device,webcam,electronic devices are daxable,webcams are daxable,yes
vegetable,potato,vegetables are daxable,potatoes are daxable,yes
tool,shears,tools are daxable,shears are daxable,yes
clothing,hoodie,clothing is daxable,hoodies are daxable,yes
food,meatball,food is daxable,meatballs are daxable,yes
plant,tuba,plants are daxable,tubas are daxable,no
animal,cobra,animals are daxable,cobras are daxable,yes
toiletry,eraser,toiletries are daxable,erasers are daxable,no
vehicle,steamroller,vehicles are daxable,steamrollers are daxable,yes
animal,manatee,animals are daxable,manatees are daxable,yes
container,bedpan,containers are daxable,bedpans are daxable,yes
kitchen equipment,slicer,kitchen equipment is daxable,slicers are daxable,yes
mammal,alpaca,mammals are daxable,alpacas are daxable,yes
food,spaghetti,food is daxable,spaghetti is daxable,yes
container,cotton candy,containers are daxable,cotton candy is daxable,no
food,eclair,food is daxable,eclairs are daxable,yes
food,blowfish,food is daxable,blowfish are daxable,no
game,lego,games are daxable,legos are daxable,no
drink,champagne,drinks are daxable,champagne is daxable,yes
dessert,dessert,desserts are daxable,desserts are daxable,yes
accessory,muff,accessories are daxable,muffs are daxable,yes
furniture,couch,furniture is daxable,couches are daxable,yes
livestock,rabbit,livestocks are daxable,rabbits are daxable,yes
kitchen equipment,water filter,kitchen equipment is daxable,water filters are daxable,yes
animal,bookshelf,animals are daxable,bookshelves are daxable,no
animal,kangaroo,animals are daxable,kangaroos are daxable,yes
candy,candy,candy is daxable,candy is daxable,yes
animal,cow,animals are daxable,cows are daxable,yes
vehicle,exhaust pipe,vehicles are daxable,exhaust pipes are daxable,no
electronic device,charger,electronic devices are daxable,chargers are daxable,no
headwear,watermelon,headwear is daxable,watermelons are daxable,no
accessory,cake mix,accessories are daxable,cake mixes are daxable,no
kitchen equipment,coffeemaker,kitchen equipment is daxable,coffeemakers are daxable,yes
electronic device,polygraph,electronic devices are daxable,polygraphs are daxable,yes
accessory,bandana,accessories are daxable,bandanas are daxable,yes
container,chest,containers are daxable,chests are daxable,yes
vegetable,pistachio,vegetables are daxable,pistachios are daxable,no
musical instrument,wind chimes,musical instruments are daxable,wind chimes are daxable,no
home decor,birdhouse,home decor is daxable,birdhouses are daxable,yes
animal,pheasant,animals are daxable,pheasants are daxable,yes
weapon,anvil,weapons are daxable,anvils are daxable,no
food,whipped cream,food is daxable,whipped cream is daxable,yes
kitchen equipment,oven,kitchen equipment is daxable,ovens are daxable,yes
tool,brussels sprouts,tools are daxable,brussels sprouts are daxable,no
vegetable,berry,vegetables are daxable,berries are daxable,no
food,tomato sauce,food is daxable,tomato sauce is daxable,yes
clothing,chest,clothing is daxable,chests are daxable,no
protective clothing,cashew,protective clothing is daxable,cashews are daxable,no
bird,wasp,birds are daxable,wasps are daxable,no
electronic device,blender,electronic devices are daxable,blenders are daxable,yes
sea animal,strap,sea animals are daxable,straps are daxable,no
clothing,luggage,clothing is daxable,luggage is daxable,no
school supply,notepad,school supplies are daxable,notepads are daxable,yes
tool,cleaver,tools are daxable,cleavers are daxable,yes
school supply,eyeliner,school supplies are daxable,eyeliners are daxable,no
drink,rifle,drinks are daxable,rifles are daxable,no
livestock,chipmunk,livestocks are daxable,chipmunks are daxable,no
kitchen equipment,waffle iron,kitchen equipment is daxable,waffle irons are daxable,yes
vehicle,hearse,vehicles are daxable,hearses are daxable,yes
food,pitcher,food is daxable,pitchers are daxable,no
animal,nail clippers,animals are daxable,nail clippers are daxable,no
food,vial,food is daxable,vials are daxable,no
animal,antelope,animals are daxable,antelopes are daxable,yes
tool,cane,tools are daxable,canes are daxable,no
livestock,paperclip,livestocks are daxable,paperclips are daxable,no
musical instrument,trombone,musical instruments are daxable,trombones are daxable,yes
women's clothing,boa,women's clothes are daxable,boas are daxable,yes
women's clothing,grain,women's clothes are daxable,grains are daxable,no
fruit,broccoli,fruits are daxable,broccoli is daxable,no
animal,scrabble,animals are daxable,scrabble is daxable,no
toy,costume,toys are daxable,costumes are daxable,no
office supply,mint,office supplies are daxable,mint is daxable,no
container,enchilada,containers are daxable,enchiladas are daxable,no
auto part,headrest,auto parts are daxable,headrests are daxable,yes
electronic device,centrifuge,electronic devices are daxable,centrifuges are daxable,yes
insect,fly,insects are daxable,flies are daxable,yes
toy,doll,toys are daxable,dolls are daxable,yes
musical instrument,mandolin,musical instruments are daxable,mandolins are daxable,yes
container,chicken,containers are daxable,a chicken is daxable,no
toiletry,pin,toiletries are daxable,pins are daxable,no
breakfast,hamburger,breakfasts are daxable,hamburgers are daxable,yes
tool,broom,tools are daxable,brooms are daxable,yes
tool,bikini,tools are daxable,bikinis are daxable,no
container,ram,containers are daxable,rams are daxable,no
clothing,plaster cast,clothing is daxable,plaster casts are daxable,no
clothing,avocado,clothing is daxable,avocados are daxable,no
kitchen tool,duck,kitchen tools are daxable,ducks are daxable,no
vehicle,minivan,vehicles are daxable,minivans are daxable,yes
dessert,latte,desserts are daxable,lattes are daxable,no
food,life jacket,food is daxable,life jackets are daxable,no
vehicle,station wagon,vehicles are daxable,station wagons are daxable,yes
weapon,blowgun,weapons are daxable,blowguns are daxable,yes
outerwear,coat,outerwear is daxable,coats are daxable,yes
clothing,footrest,clothing is daxable,footrests are daxable,no
tool,spaghetti,tools are daxable,spaghetti is daxable,no
food,cucumber,food is daxable,cucumbers are daxable,yes
tool,duster,tools are daxable,dusters are daxable,yes
clothing,cornucopia,clothing is daxable,cornucopias are daxable,no
tool,jellyfish,tools are daxable,jellyfish are daxable,no
tool,ant,tools are daxable,ants are daxable,no
medical equipment,pillbox,medical equipment is daxable,pillboxes are daxable,yes
container,bear,containers are daxable,bears are daxable,no
dessert,punch,desserts are daxable,fruit punches are daxable,no
breakfast,whip,breakfasts are daxable,whips are daxable,no
vegetable,pepper,vegetables are daxable,peppers are daxable,yes
sea animal,oyster,sea animals are daxable,oysters are daxable,yes
animal,pig,animals are daxable,pigs are daxable,yes
auto part,taillight,auto parts are daxable,taillights are daxable,yes
animal,sloth,animals are daxable,sloths are daxable,yes
food,walnut,food is daxable,walnuts are daxable,yes
tool,staple gun,tools are daxable,staple guns are daxable,yes
jewelry,sombrero,jewelry is daxable,sombreros are daxable,no
seafood,seafood,seafood is daxable,seafood is daxable,yes
electronic device,waffle iron,electronic devices are daxable,waffle irons are daxable,yes
container,bus,containers are daxable,buses are daxable,no
clothing,calf,clothing is daxable,calves are daxable,no
toy,music box,toys are daxable,music boxes are daxable,yes
furniture,bassinet,furniture is daxable,bassinets are daxable,yes
clothing,scarecrow,clothing is daxable,scarecrows are daxable,no
food,fishbowl,food is daxable,fishbowls are daxable,no
breakfast,casserole,breakfasts are daxable,casseroles are daxable,no
weapon,crowbar,weapons are daxable,crowbars are daxable,yes
bird,lock,birds are daxable,locks are daxable,no
home decor,corsage,home decor is daxable,corsages are daxable,no
school supply,stir fry,school supplies are daxable,a stir fry is daxable,no
weapon,tortellini,weapons are daxable,tortellini is daxable,no
container,closet,containers are daxable,closets are daxable,yes
plant,hedge,plants are daxable,hedges are daxable,yes
food,roll,food is daxable,rolls are daxable,yes
mammal,pig,mammals are daxable,pigs are daxable,yes
tool,trident,tools are daxable,tridents are daxable,yes
game,chalk,games are daxable,chalks are daxable,no
women's clothing,tiara,women's clothes are daxable,tiaras are daxable,yes
kitchen equipment,chipmunk,kitchen equipment is daxable,chipmunks are daxable,no
mammal,horse,mammals are daxable,horses are daxable,yes
animal,videogame,animals are daxable,videogames are daxable,no
mammal,calf,mammals are daxable,calves are daxable,yes
clothing,hummus,clothing is daxable,hummus is daxable,no
animal,grass,animals are daxable,grass is daxable,no
water vehicle,airboat,water vehicles are daxable,airboats are daxable,yes
headwear,sombrero,headwear is daxable,sombreros are daxable,yes
livestock,washing machine,livestocks are daxable,washing machines are daxable,no
food,notepad,food is daxable,notepads are daxable,no
food,duckling,food is daxable,ducklings are daxable,no
jewelry,cufflink,jewelry is daxable,cufflinks are daxable,yes
food,pepper mill,food is daxable,pepper mills are daxable,no
electronic device,juicer,electronic devices are daxable,juicers are daxable,yes
clothing,tube top,clothing is daxable,tube tops are daxable,yes
weapon,catapult,weapons are daxable,catapults are daxable,yes
kitchen tool,polar bear,kitchen tools are daxable,polar bears are daxable,no
food,pumpkin,food is daxable,pumpkins are daxable,yes
mammal,trombone,mammals are daxable,trombones are daxable,no
fruit,machine gun,fruits are daxable,machine guns are daxable,no
mammal,wheelchair,mammals are daxable,wheelchairs are daxable,no
drink,drink,drinks are daxable,drinks are daxable,yes
school supply,mint,school supplies are daxable,mint is daxable,no
weapon,grenade,weapons are daxable,grenades are daxable,yes
fastener,bolt,fasteners are daxable,bolts are daxable,yes
electronic device,watch,electronic devices are daxable,watches are daxable,no
clothing,bathrobe,clothing is daxable,bathrobes are daxable,yes
tool,sushi,tools are daxable,sushi is daxable,no
tool,rifle,tools are daxable,rifles are daxable,no
electronic device,blowfish,electronic devices are daxable,blowfish are daxable,no
accessory,pants,accessories are daxable,pants are daxable,no
container,shopping basket,containers are daxable,shopping baskets are daxable,yes
food,fruit,food is daxable,fruits are daxable,yes
clothing,tie,clothing is daxable,ties are daxable,yes
animal,mold,animals are daxable,molds are daxable,no
animal,cilantro,animals are daxable,cilantro is daxable,no
drink,lemonade,drinks are daxable,lemonades are daxable,yes
fruit,banana,fruits are daxable,bananas are daxable,yes
toiletry,hairspray,toiletries are daxable,hairsprays are daxable,yes
clothing,fishnet stockings,clothing is daxable,fishnet stockings are daxable,yes
container,wok,containers are daxable,woks are daxable,yes
outerwear,blazer,outerwear is daxable,blazers are daxable,yes
candy,kneepad,candy is daxable,kneepads are daxable,no
outerwear,cantaloupe,outerwear is daxable,cantaloupes are daxable,no
food,cup,food is daxable,cups are daxable,no
school supply,marker,school supplies are daxable,markers are daxable,yes
food,apple,food is daxable,apples are daxable,yes
food,tiramisu,food is daxable,tiramisu is daxable,yes
food,gyro,food is daxable,gyros are daxable,yes
clothing,belt buckle,clothing is daxable,belt buckles are daxable,no
breakfast,dumpling,breakfasts are daxable,dumplings are daxable,no
animal,cockatoo,animals are daxable,cockatoos are daxable,yes
food,shrimp,food is daxable,shrimps are daxable,yes
fruit,iron,fruits are daxable,irons are daxable,no
vehicle,spam,vehicles are daxable,spam is daxable,no
toy,robot,toys are daxable,robots are daxable,yes
mammal,cougar,mammals are daxable,cougars are daxable,yes
food,potpourri,food is daxable,potpourris are daxable,no
weapon,rifle,weapons are daxable,rifles are daxable,yes
auto part,artichoke,auto parts are daxable,artichokes are daxable,no
food,snack,food is daxable,snacks are daxable,yes
food,pepperoni,food is daxable,pepperonis are daxable,yes
plant,leek,plants are daxable,leeks are daxable,yes
fruit,potato,fruits are daxable,potatoes are daxable,no
accessory,fur coat,accessories are daxable,fur coats are daxable,no
accessory,shawl,accessories are daxable,shawls are daxable,yes
breakfast,syrup,breakfasts are daxable,syrups are daxable,yes
clothing,underwear,clothing is daxable,underwear is daxable,yes
container,water bottle,containers are daxable,water bottles are daxable,yes
animal,pocketknife,animals are daxable,pocketknives are daxable,no
auto part,grille,auto parts are daxable,grilles are daxable,yes
tool,wedge,tools are daxable,wedges are daxable,yes
animal,bullet,animals are daxable,bullets are daxable,no
food,nightstand,food is daxable,nightstands are daxable,no
food,piecrust,food is daxable,piecrusts are daxable,yes
food,bun,food is daxable,buns are daxable,yes
auto part,truck,auto parts are daxable,trucks are daxable,no
electronic device,engine,electronic devices are daxable,engines are daxable,no
toiletry,washcloth,toiletries are daxable,washcloths are daxable,yes
breakfast,marmalade,breakfasts are daxable,marmalade is daxable,yes
vehicle,seaplane,vehicles are daxable,seaplanes are daxable,yes
container,dustpan,containers are daxable,dustpans are daxable,yes
kitchen equipment,burner,kitchen equipment is daxable,burners are daxable,yes
fruit,orange,fruits are daxable,oranges are daxable,yes
clothing,mitten,clothing is daxable,mittens are daxable,yes
food,clam,food is daxable,clams are daxable,yes
vehicle,coffee bean,vehicles are daxable,coffee beans are daxable,no
toy,scooter,toys are daxable,scooters are daxable,yes
container,biscuit,containers are daxable,biscuits are daxable,no
food,calamari,food is daxable,calamari is daxable,yes
drink,milk,drinks are daxable,milk is daxable,yes
tool,scraper,tools are daxable,scrapers are daxable,yes
tool,gasket,tools are daxable,gaskets are daxable,no
vegetable,zucchini,vegetables are daxable,zucchini is daxable,yes
food,lighter,food is daxable,a lighter is daxable,no
mammal,pocketknife,mammals are daxable,pocketknives are daxable,no
tool,scalpel,tools are daxable,scalpels are daxable,yes
plant,headlight,plants are daxable,headlights are daxable,no
animal,airbag,animals are daxable,airbags are daxable,no
home decor,bun,home decor is daxable,buns are daxable,no
food,coil,food is daxable,coils are daxable,no
fastener,hammer,fasteners are daxable,hammers are daxable,no
tool,doorknocker,tools are daxable,doorknockers are daxable,yes
tool,faucet,tools are daxable,faucets are daxable,yes
candy,gum,candy is daxable,gums are daxable,yes
bird,pigeon,birds are daxable,pigeons are daxable,yes
livestock,goose,livestocks are daxable,geese are daxable,yes
food,t-shirt,food is daxable,t-shirts are daxable,no
school supply,ruler,school supplies are daxable,rulers are daxable,yes
kitchen tool,bottle opener,kitchen tools are daxable,bottle openers are daxable,yes
breakfast,buffet,breakfasts are daxable,buffets are daxable,no
container,water heater,containers are daxable,water heaters are daxable,yes
mammal,puppy,mammals are daxable,puppies are daxable,yes
clothing,walker,clothing is daxable,walkers are daxable,no
animal,fly,animals are daxable,flies are daxable,yes
dessert,cake,desserts are daxable,cakes are daxable,yes
clothing,jacket,clothing is daxable,jackets are daxable,yes
fruit,sweeper,fruits are daxable,sweepers are daxable,no
mammal,hummingbird,mammals are daxable,hummingbirds are daxable,no
animal,grapevine,animals are daxable,grapevines are daxable,no
vehicle,unicycle,vehicles are daxable,unicycles are daxable,yes
clothing,oyster,clothing is daxable,oysters are daxable,no
condiment,crepe,condiments are daxable,crepes are daxable,no
food,lettuce,food is daxable,a lettuce is daxable,yes
clothing,washcloth,clothing is daxable,washcloths are daxable,no
container,pan,containers are daxable,pans are daxable,yes
container,bowl,containers are daxable,bowls are daxable,yes
sea animal,sardine,sea animals are daxable,sardines are daxable,yes
mammal,piglet,mammals are daxable,piglets are daxable,yes
animal,toad,animals are daxable,toads are daxable,yes
clothing,spacesuit,clothing is daxable,spacesuits are daxable,yes
furniture,spinach,furniture is daxable,spinach is daxable,no
garden tool,trowel,garden tools are daxable,trowels are daxable,yes
kitchen tool,donkey,kitchen tools are daxable,donkeys are daxable,no
medical equipment,rabbit,medical equipment is daxable,rabbits are daxable,no
animal,terrarium,animals are daxable,terrariums are daxable,no
clothing,armor,clothing is daxable,armor is daxable,yes
protective clothing,glove,protective clothing is daxable,gloves are daxable,yes
vegetable,rickshaw,vegetables are daxable,rickshaws are daxable,no
home decor,doily,home decor is daxable,doilies are daxable,yes
fruit,mulberry,fruits are daxable,mulberries are daxable,yes
bird,hawk,birds are daxable,hawks are daxable,yes
tool,mallet,tools are daxable,mallets are daxable,yes
kitchen tool,parrot,kitchen tools are daxable,parrots are daxable,no
tool,paperclip,tools are daxable,paperclips are daxable,no
electronic device,switch,electronic devices are daxable,switches are daxable,no
electronic device,cabbage,electronic devices are daxable,cabbages are daxable,no
container,hatbox,containers are daxable,hatboxes are daxable,yes
vegetable,gourd,vegetables are daxable,gourds are daxable,yes
food,cannonball,food is daxable,cannonballs are daxable,no
food,pretzel,food is daxable,pretzels are daxable,yes
food,berry,food is daxable,berries are daxable,yes
auto part,granola,auto parts are daxable,granola is daxable,no
musical instrument,trumpet,musical instruments are daxable,trumpets are daxable,yes
mammal,vulture,mammals are daxable,vultures are daxable,no
food,seafood,food is daxable,seafood is daxable,yes
bird,eagle,birds are daxable,eagles are daxable,yes
livestock,duck,livestocks are daxable,ducks are daxable,yes
mammal,wrench,mammals are daxable,wrenches are daxable,no
clothing,hairspray,clothing is daxable,hairsprays are daxable,no
tool,horn,tools are daxable,horns are daxable,no
medical equipment,floss,medical equipment is daxable,flosses are daxable,no
mammal,toothbrush,mammals are daxable,toothbrushes are daxable,no
mammal,monkey,mammals are daxable,monkeys are daxable,yes
home decor,candle,home decor is daxable,candles are daxable,yes
vegetable,raspberry,vegetables are daxable,raspberries are daxable,no
electronic device,treadmill,electronic devices are daxable,treadmills are daxable,yes
water vehicle,train,water vehicles are daxable,trains are daxable,no
breakfast,bacon,breakfasts are daxable,bacon is daxable,yes
women's clothing,leggings,women's clothes are daxable,leggings are daxable,yes
food,clipper,food is daxable,clippers are daxable,no
furniture,step stool,furniture is daxable,step stools are daxable,yes
plant,marijuana,plants are daxable,marijuana is daxable,yes
animal,coyote,animals are daxable,coyotes are daxable,yes
electronic device,pear,electronic devices are daxable,pears are daxable,no
food,taco,food is daxable,tacos are daxable,yes
candy,pepperoni,candy is daxable,pepperonis are daxable,no
toiletry,seal,toiletries are daxable,seals are daxable,no
home decor,calf,home decor is daxable,calves are daxable,no
outerwear,sweater,outerwear is daxable,sweaters are daxable,no
sea animal,goldfish,sea animals are daxable,goldfish are daxable,no
food,egg,food is daxable,eggs are daxable,yes
office supply,pencil,office supplies are daxable,pencils are daxable,yes
food,pomegranate,food is daxable,pomegranates are daxable,yes
food,handle,food is daxable,handles are daxable,no
food,bamboo,food is daxable,bamboos are daxable,no
candy,candy bar,candy is daxable,candy bars are daxable,yes
animal,aquarium,animals are daxable,aquariums are daxable,no
tool,chainsaw,tools are daxable,chainsaws are daxable,yes
game,videogame,games are daxable,videogames are daxable,yes
animal,checkers,animals are daxable,checkers are daxable,no
animal,nail polish,animals are daxable,nail polish is daxable,no
food,grater,food is daxable,graters are daxable,no
container,subway,containers are daxable,subways are daxable,no
breakfast,croissant,breakfasts are daxable,croissants are daxable,yes
musical instrument,flute,musical instruments are daxable,flutes are daxable,yes
breakfast,baklava,breakfasts are daxable,baklavas are daxable,no
condiment,computer screen,condiments are daxable,computer screens are daxable,no
drink,juice,drinks are daxable,juices are daxable,yes
clothing,turtleneck,clothing is daxable,turtlenecks are daxable,yes
toiletry,walrus,toiletries are daxable,walruses are daxable,no
tool,button,tools are daxable,buttons are daxable,yes
bird,goose,birds are daxable,geese are daxable,yes
tool,hummus,tools are daxable,hummus is daxable,no
women's clothing,patty,women's clothes are daxable,patties are daxable,no
electronic device,kettle,electronic devices are daxable,kettles are daxable,no
container,pancake,containers are daxable,pancakes are daxable,no
