premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
dessert,doorknocker,no,0.09391658008098602,low,desserts,doorknockers
weapon,sauerkraut,no,0.1265995353460312,low,weapons,sauerkraut
vegetable,pear,no,0.8529093861579895,high,vegetables,pears
electronic device,slicer,yes,0.7197970747947693,high,electronic devices,slicers
clothing,bulletproof vest,yes,0.8194446563720703,high,clothing,bulletproof vests
outerwear,nacho,no,0.134064182639122,low,outerwear,nachos
food,pheasant,no,0.3465547561645508,high,food,pheasants
bird,duckling,yes,0.8781428933143616,high,birds,ducklings
women's clothing,corset,yes,0.8960736989974976,high,women's clothes,corsets
headwear,bowtie,no,0.8147578835487366,high,headwear,bowties
food,stuffing,yes,0.7971482872962952,high,food,stuffing
tool,stamp,yes,0.4286540746688843,high,tools,stamps
dessert,buffet,no,0.8424041867256165,high,desserts,buffets
animal,moss,no,0.5674336552619934,high,animals,mosses
electronic device,accordion,no,0.681089460849762,high,electronic devices,accordions
candy,popcorn,no,0.8705394268035889,high,candy,popcorn
insect,earwig,yes,0.9391871094703674,high,insects,earwigs
animal,seahorse,yes,0.8303989171981812,high,animals,seahorses
food,mustard,yes,0.7688313722610474,high,food,mustard
food,beer,no,0.6620128154754639,high,food,beer
musical instrument,radio,no,0.6829264163970947,high,musical instruments,radios
kitchen tool,crow,no,0.09842689335346222,low,kitchen tools,crows
toiletry,paintbrush,no,0.6611924171447754,high,toiletries,paintbrushes
clothing,stroller,no,0.591691255569458,high,clothing,strollers
food,cloak,no,0.13847793638706207,low,food,cloaks
mammal,polygraph,no,0.10100409388542175,low,mammals,polygraphs
home decor,abacus,yes,0.5272789001464844,low,home decor,abacuses
home decor,frame,yes,0.4680080711841583,low,home decor,frames
medical equipment,cane,yes,0.6244162321090698,high,medical equipment,canes
tool,lightbulb,yes,0.6101933717727661,high,tools,lightbulbs
food,lollipop,yes,0.5751364827156067,high,food,lollipops
container,trunk,yes,0.750159740447998,high,containers,trunks
sea animal,workbench,no,0.10553877055644989,low,sea animals,workbenches
food,mailbox,no,0.13588371872901917,low,food,mailboxes
tool,handbrake,no,0.6867738366127014,high,tools,handbrakes
food,vegetable,yes,0.7916086316108704,high,food,vegetables
food,dessert,yes,0.776127815246582,high,food,desserts
food,tortellini,yes,0.7798165082931519,high,food,tortellini
women's clothing,tuxedo,no,0.8937483429908752,high,women's clothes,tuxedoes
garden tool,chainsaw,yes,0.7641962170600891,low,garden tools,chainsaws
mammal,tiger,yes,0.9071940779685974,high,mammals,tigers
tool,nutcracker,yes,0.8744317293167114,high,tools,nutcrackers
animal,peacock,yes,0.777213454246521,high,animals,peacocks
furniture,hammock,yes,0.6467452645301819,high,furniture,hammocks
weapon,fruitcake,no,0.12641559541225433,low,weapons,fruitcakes
plant,sofa bed,no,0.08246377855539322,low,plants,sofa beds
food,inkwell,no,0.14191119372844696,low,food,inkwells
breakfast,grits,yes,0.8663537502288818,low,breakfasts,grits
protective clothing,hoodie,no,0.797369658946991,high,protective clothing,hoodies
clothing,shawl,yes,0.8534508943557739,high,clothing,shawls
food,slipper,no,0.15336130559444427,low,food,slippers
headwear,tapestry,no,0.8051523566246033,high,headwear,tapestries
plant,grass,yes,0.9478963017463684,high,plants,grass
food,melon,yes,0.7856009006500244,high,food,melons
game,aardvark,no,0.12201415747404099,low,games,aardvarks
condiment,souffle,no,0.8060832023620605,high,condiments,souffles
toy,dollhouse,yes,0.6610327959060669,low,toys,dollhouses
animal,rat,yes,0.9008163809776306,high,animals,rats
container,duffel bag,yes,0.6604193449020386,low,containers,duffel bags
footwear,broccoli,no,0.1113089993596077,low,footwear,broccoli
tool,eggbeater,yes,0.8197384476661682,high,tools,eggbeaters
animal,bird,yes,0.8475367426872253,high,animals,birds
seafood,screwdriver,no,0.08456913381814957,low,seafood,screwdrivers
animal,saxophone,no,0.12472711503505707,low,animals,saxophones
container,container,yes,1.0,high,containers,containers
vehicle,taxi,yes,0.8739497661590576,high,vehicles,taxis
toy,beachball,yes,0.7686188817024231,high,toys,beachballs
kitchen tool,food processor,no,0.769192636013031,high,kitchen tools,food processors
mammal,handbrake,no,0.10132354497909546,low,mammals,handbrakes
accessory,tostada,no,0.14492829144001007,low,accessories,tostadas
electronic device,washing machine,yes,0.7508009672164917,high,electronic devices,washing machines
animal,papaya,no,0.4188416302204132,high,animals,papayas
clothing,pepper,no,0.15530844032764435,low,clothing,peppers
tool,pencil,yes,0.6177484393119812,high,tools,pencils
furniture,dresser,yes,0.8186644315719604,high,furniture,dressers
food,figurine,no,0.13915401697158813,low,food,figurines
tool,marker,yes,0.5110505819320679,high,tools,markers
vehicle,sled,yes,0.7039214372634888,high,vehicles,sleds
office supply,book,no,0.7075647115707397,high,office supplies,books
food,weed,no,0.4701879918575287,high,food,weeds
food,clothes,no,0.1540454626083374,low,food,clothes
fruit,fig,yes,0.8831067681312561,high,fruits,figs
seafood,scallop,yes,0.8763489723205566,high,seafood,scallops
breakfast,scone,yes,0.8738035559654236,low,breakfasts,scones
toy,board game,no,0.8277738094329834,high,toys,board games
tool,pelican,no,0.09958869963884354,low,tools,pelicans
container,hearse,no,0.7097506523132324,high,containers,hearses
footwear,moccasin,yes,0.898325502872467,high,footwear,moccasins
kitchen tool,coffee pot,no,0.7377720475196838,high,kitchen tools,coffee pots
medical equipment,vial,yes,0.6805617213249207,high,medical equipment,vials
plant,spinach,yes,0.9421711564064026,high,plants,spinach
fruit,chive,no,0.8815630674362183,high,fruits,chives
animal,blackberry,no,0.42870157957077026,high,animals,blackberries
container,van,no,0.8184893727302551,high,containers,vans
bird,flamingo,yes,0.8672465682029724,high,birds,flamingoes
bird,ladle,no,0.08654817938804626,low,birds,ladles
electronic device,moss,no,0.11709530651569366,low,electronic devices,mosses
food,sugar cube,yes,0.6791685819625854,high,food,sugar cubes
toy,lunchbox,no,0.738957405090332,high,toys,lunchboxes
home decor,doorknocker,yes,0.4894149601459503,low,home decor,doorknockers
breakfast,yogurt,yes,0.8101327419281006,low,breakfasts,yogurts
food,gourd,no,0.7685146331787109,high,food,gourds
seafood,sushi,no,0.887545108795166,high,seafood,sushi
animal,goat,yes,0.8786910772323608,high,animals,goats
footwear,scallion,no,0.11065417528152466,low,footwear,scallions
animal,turtle,yes,0.8837530612945557,high,animals,turtles
home decor,knob,no,0.5368166565895081,high,home decor,knobs
medical equipment,clipper,no,0.6196339130401611,high,medical equipment,clippers
dessert,donut,yes,0.8222488164901733,high,desserts,donuts
container,backpack,yes,0.44530490040779114,low,containers,backpacks
vehicle,train,yes,0.893912672996521,high,vehicles,trains
vehicle,canoe,yes,0.8105995655059814,high,vehicles,canoes
water vehicle,canoe,yes,0.9305656552314758,high,water vehicles,canoes
food,rooster,no,0.46074146032333374,high,food,roosters
food,blower,no,0.1316288709640503,low,food,blowers
food,baklava,yes,0.8060006499290466,high,food,baklavas
food,macaroni,yes,0.7750514149665833,high,food,macaroni
mammal,platypus,yes,0.8742384910583496,high,mammals,platypuses
livestock,sheep,yes,0.926647424697876,high,livestocks,sheeps
clothing,brace,no,0.7205914258956909,high,clothing,braces
animal,sausage,no,0.491450697183609,high,animals,sausages
breakfast,stew,no,0.8817844390869141,high,breakfasts,stew
clothing,tiara,yes,0.6710414290428162,high,clothing,tiaras
candy,banana split,no,0.8604283928871155,high,candy,banana splits
food,macadamia,yes,0.7964921593666077,high,food,macadamia nuts
animal,guitar,no,0.1259402483701706,low,animals,guitars
clothing,toga,yes,0.8401142954826355,high,clothing,togas
insect,whisk,no,0.10314638167619705,low,insects,whisks
game,game,yes,1.0,high,games,games
food,ravioli,yes,0.8053895831108093,high,food,ravioli
medical equipment,kneepad,no,0.6321768164634705,high,medical equipment,kneepads
animal,music box,no,0.12000282108783722,low,animals,music boxes
mammal,meerkat,yes,0.9231566190719604,high,mammals,meerkats
food,prune,yes,0.7387357950210571,high,food,prunes
tool,sandpaper,yes,0.6710060834884644,high,tools,sandpapers
electronic device,amplifier,yes,0.7388153672218323,high,electronic devices,amplifiers
electronic device,computer screen,yes,0.7129283547401428,high,electronic devices,computer screens
toiletry,floss,yes,0.7219562530517578,high,toiletries,flosses
vegetable,okra,yes,0.8591906428337097,high,vegetables,okra
footwear,iceskate,yes,0.9304271340370178,high,footwear,iceskates
candy,whip,no,0.08814255893230438,low,candy,whips
clothing,crown,yes,0.48993024230003357,low,clothing,crowns
home decor,teacup,no,0.5530152916908264,high,home decor,teacups
animal,saw,no,0.11808110773563385,low,animals,saws
animal,file,no,0.12134997546672821,low,animals,files
fruit,cauliflower,no,0.8874537348747253,high,fruits,cauliflowers
container,station wagon,no,0.7126718163490295,high,containers,station wagons
home decor,statue,yes,0.49473488330841064,low,home decor,statues
clothing,ski boots,yes,0.6279849410057068,high,clothing,ski boots
plant,fan,no,0.08318813145160675,low,plants,fans
animal,blowfish,yes,0.8023301362991333,high,animals,blowfish
animal,sifter,no,0.11668872833251953,low,animals,sifters
office supply,tape,yes,0.7236515283584595,high,office supplies,tapes
sea animal,octopus,yes,0.8653064370155334,high,sea animals,octopus
container,paper bag,yes,0.40990734100341797,low,containers,paper bags
breakfast,anvil,no,0.10745663195848465,low,breakfasts,anvils
headwear,hat,yes,0.8550854325294495,high,headwear,hats
food,leggings,no,0.1573825627565384,low,food,leggings
plant,poppy,yes,0.9115306735038757,high,plants,poppies
school supply,calculator,yes,0.6618121266365051,high,school supplies,calculators
musical instrument,camera,no,0.6809777617454529,high,musical instruments,cameras
toy,xylophone,no,0.7967183589935303,high,toys,xylophones
food,string cheese,yes,0.6705769300460815,high,food,string cheese
clothing,melon,no,0.16037151217460632,low,clothing,melons
garden tool,clipper,yes,0.8635988831520081,high,garden tools,clippers
food,glove,no,0.1456875056028366,low,food,gloves
toiletry,lip balm,yes,0.7293037176132202,high,toiletries,lip balms
fruit,raspberry,yes,0.8742831945419312,high,fruits,raspberries
mammal,pliers,no,0.10510510206222534,high,mammals,pliers
seafood,rickshaw,no,0.0854741558432579,low,seafood,rickshaws
medical equipment,wheelchair,yes,0.6472861766815186,high,medical equipment,wheelchairs
furniture,cabinet,yes,0.8092767000198364,high,furniture,cabinets
electronic device,lock,no,0.6221203207969666,high,electronic devices,locks
bird,gazelle,no,0.8734995126724243,high,birds,gazelles
protective clothing,hummus,no,0.11592191457748413,low,protective clothing,hummus
insect,dragonfly,yes,0.9259905815124512,high,insects,dragonflies
water vehicle,papaya,no,0.10047700256109238,low,water vehicles,papayas
tool,pedal,no,0.8709462881088257,high,tools,pedals
clothing,life jacket,yes,0.3113418221473694,low,clothing,life jackets
home decor,tapestry,yes,0.546820878982544,high,home decor,tapestries
vehicle,boat,yes,0.8230605721473694,high,vehicles,boats
food,jetski,no,0.14192138612270355,low,food,jetskis
water vehicle,seaplane,yes,0.9367059469223022,high,water vehicles,seaplanes
clothing,tortellini,no,0.1574927568435669,low,clothing,tortellini
food,ladybug,no,0.38173866271972656,high,food,ladybugs
home decor,jigsaw puzzle,no,0.5383464694023132,high,home decor,jigsaw puzzles
animal,lobster,yes,0.7234750986099243,high,animals,lobsters
tool,pasta,no,0.10538186132907867,high,tools,pasta
home decor,organ,no,0.569862425327301,high,home decor,organs
food,chime,no,0.13246050477027893,low,food,chimes
weapon,spear,yes,0.7799075841903687,high,weapons,spears
auto part,bumper,yes,0.6725572943687439,high,auto parts,bumpers
tool,inkwell,no,0.7296252250671387,high,tools,inkwells
food,gumball,yes,0.6563199162483215,high,food,gumballs
container,trashcan,yes,0.6427014470100403,low,containers,trashcans
seafood,dumpling,no,0.8632197380065918,high,seafood,dumplings
food,hot chocolate,no,0.7206842303276062,high,food,hot chocolate
plant,magnifier,no,0.08258195221424103,low,plants,magnifiers
container,panda,no,0.11236713081598282,low,containers,pandas
medical equipment,insole,no,0.622783362865448,high,medical equipment,insoles
toy,pinwheel,yes,0.7851229906082153,high,toys,pinwheels
clothing,pajamas,yes,0.8621978163719177,high,clothing,pajamas
toiletry,hairpin,no,0.6729871034622192,high,toiletries,hairpins
container,shelf,no,0.7440103888511658,high,containers,shelves
kitchen equipment,mixer,yes,0.8631983399391174,high,kitchen equipment,mixers
mammal,ratchet,no,0.10096177458763123,low,mammals,ratchets
mammal,donkey,yes,0.9303008913993835,high,mammals,donkeys
weapon,baseball bat,yes,0.7135297060012817,high,weapons,baseball bats
food,coleslaw,yes,0.7878135442733765,high,food,coleslaws
food,pizza,yes,0.785327136516571,high,food,pizzas
weapon,letter opener,no,0.7380901575088501,high,weapons,letter openers
animal,duct,no,0.11746132373809814,low,animals,ducts
clothing,boot,yes,0.7252035140991211,high,clothing,boots
breakfast,breakfast,yes,1.0,high,breakfasts,breakfasts
mammal,snake,no,0.8453762531280518,high,mammals,snakes
food,caviar,yes,0.6616196036338806,high,food,caviar
food,sifter,no,0.4229786694049835,high,food,sifters
electronic device,gearshift,no,0.7138242125511169,high,electronic devices,gearshifts
animal,chessboard,no,0.1220691129565239,low,animals,chessboards
seafood,dryer,no,0.08483268320560455,low,seafood,dryers
outerwear,jeans,no,0.8908054828643799,high,outerwear,jeans
office supply,staple,yes,0.7212351560592651,high,office supplies,staples
medical equipment,defibrillator,yes,0.609665036201477,high,medical equipment,defibrillators
furniture,dollhouse,no,0.69581538438797,high,furniture,dollhouses
auto part,windshield,yes,0.7686022520065308,high,auto parts,windshields
food,noodle,yes,0.7943260669708252,high,food,noodles
candy,caramel,yes,0.6514453887939453,low,candy,caramels
animal,lamb chop,no,0.4345037341117859,high,animals,lamb chops
medical equipment,sandwich,no,0.1189717948436737,low,medical equipment,sandwiches
mammal,dalmatian,yes,0.9192671775817871,high,mammals,dalmatians
mammal,scanner,no,0.1005072072148323,low,mammals,scanners
water vehicle,jetski,yes,0.946503758430481,high,water vehicles,jetskis
food,quiche,yes,0.8113435506820679,high,food,quiches
food,gondola,no,0.13538886606693268,low,food,gondolas
tool,roof rack,no,0.6796036958694458,high,tools,roof racks
animal,raccoon,yes,0.887534499168396,high,animals,raccoons
animal,cufflink,no,0.12373602390289307,low,animals,cufflinks
animal,caterpillar,yes,0.7849634885787964,high,animals,caterpillars
toy,glue,no,0.7268736362457275,high,toys,glue
auto part,kiwi,no,0.0941213071346283,low,auto parts,kiwis
food,measuring cup,no,0.43404242396354675,high,food,measuring cups
accessory,earring,yes,0.6756131052970886,low,accessories,earrings
condiment,soy sauce,yes,0.7380411624908447,low,condiments,soy sauce
vegetable,garlic,yes,0.8248101472854614,high,vegetables,garlic
food,broccoli,yes,0.7878267765045166,high,food,broccoli
electronic device,odometer,no,0.6126417517662048,high,electronic devices,odometers
tool,mustard,no,0.1041213721036911,low,tools,mustard
tool,sword,no,0.8203224539756775,high,tools,swords
food,knife,no,0.5280503630638123,high,food,knives
office supply,tweezers,no,0.6899046301841736,high,office supplies,tweezers
jewelry,earring,yes,0.9142177700996399,high,jewelry,earrings
electronic device,light switch,no,0.6799436807632446,high,electronic devices,light switches
tool,vacuum,yes,0.7052224278450012,high,tools,vacuum cleaners
auto part,sunroof,yes,0.7287784218788147,high,auto parts,sunroofs
clothing,bolo tie,yes,0.8675216436386108,high,clothing,bolo ties
food,jelly bean,yes,0.7076150178909302,high,food,jelly beans
accessory,spareribs,no,0.14387895166873932,low,accessories,spareribs
clothing,hairpin,no,0.6525012254714966,high,clothing,hairpins
livestock,light switch,no,0.09528709948062897,low,livestocks,light switches
vehicle,bomb,no,0.7406927347183228,high,vehicles,bombs
musical instrument,turntable,no,0.7434742450714111,high,musical instruments,turntables
fruit,papaya,yes,0.9128484725952148,high,fruits,papayas
vegetable,chive,yes,0.8783443570137024,high,vegetables,chives
food,peppermint,yes,0.7160035371780396,high,food,peppermints
home decor,pasta,no,0.200247660279274,low,home decor,pasta
food,pita,yes,0.7800583839416504,high,food,pita
home decor,urn,no,0.6033202409744263,high,home decor,urns
fruit,corn,no,0.8732768297195435,high,fruits,corn
toiletry,faucet,no,0.6391735076904297,high,toiletries,faucets
animal,alligator,yes,0.874115526676178,high,animals,alligators
clothing,stockings,yes,0.7895090579986572,high,clothing,stockings
food,fly,no,0.3398946225643158,high,food,flies
animal,deer,yes,0.8821701407432556,high,animals,deers
furniture,desk,yes,0.8060085773468018,high,furniture,desks
office supply,needle,no,0.6871773600578308,high,office supplies,needles
animal,piano,no,0.118960902094841,low,animals,pianos
medical equipment,eye patch,yes,0.5966354012489319,high,medical equipment,eye patches
electronic device,webcam,yes,0.7615646123886108,high,electronic devices,webcams
vegetable,potato,yes,0.8437797427177429,high,vegetables,potatoes
tool,shears,yes,0.8363094925880432,high,tools,shears
clothing,hoodie,yes,0.8704360127449036,high,clothing,hoodies
food,meatball,yes,0.8037259578704834,high,food,meatballs
plant,tuba,no,0.08277322351932526,low,plants,tubas
animal,cobra,yes,0.868798553943634,high,animals,cobras
toiletry,eraser,no,0.6240881085395813,high,toiletries,erasers
vehicle,steamroller,yes,0.8447003960609436,high,vehicles,steamrollers
animal,manatee,yes,0.8555028438568115,high,animals,manatees
container,bedpan,yes,0.3328385353088379,low,containers,bedpans
kitchen equipment,slicer,yes,0.7828464508056641,high,kitchen equipment,slicers
mammal,alpaca,yes,0.9234716892242432,high,mammals,alpacas
food,spaghetti,yes,0.7885759472846985,high,food,spaghetti
container,cotton candy,no,0.1163661777973175,low,containers,cotton candy
food,eclair,yes,0.7661251425743103,high,food,eclairs
food,blowfish,no,0.361323744058609,high,food,blowfish
game,lego,no,0.910961925983429,high,games,legos
drink,champagne,yes,0.9439641237258911,high,drinks,champagne
dessert,dessert,yes,1.0,high,desserts,desserts
accessory,muff,yes,0.7282443642616272,low,accessories,muffs
furniture,couch,yes,0.8273271918296814,high,furniture,couches
livestock,rabbit,yes,0.9273988604545593,high,livestocks,rabbits
kitchen equipment,water filter,yes,0.8010150790214539,high,kitchen equipment,water filters
animal,bookshelf,no,0.12600280344486237,low,animals,bookshelves
animal,kangaroo,yes,0.879519522190094,high,animals,kangaroos
candy,candy,yes,1.0,high,candy,candy
animal,cow,yes,0.8532403707504272,high,animals,cows
vehicle,exhaust pipe,no,0.6667497158050537,high,vehicles,exhaust pipes
electronic device,charger,no,0.7572615146636963,high,electronic devices,chargers
headwear,watermelon,no,0.15601986646652222,low,headwear,watermelons
accessory,cake mix,no,0.14441652595996857,low,accessories,cake mixes
kitchen equipment,coffeemaker,yes,0.868868350982666,high,kitchen equipment,coffeemakers
electronic device,polygraph,yes,0.8070126175880432,high,electronic devices,polygraphs
accessory,bandana,yes,0.7598357200622559,low,accessories,bandanas
container,chest,yes,0.7251085638999939,high,containers,chests
vegetable,pistachio,no,0.8510459661483765,high,vegetables,pistachios
musical instrument,wind chimes,no,0.7522618770599365,high,musical instruments,wind chimes
home decor,birdhouse,yes,0.5021814703941345,low,home decor,birdhouses
animal,pheasant,yes,0.8785911798477173,high,animals,pheasants
weapon,anvil,no,0.7047708630561829,high,weapons,anvils
food,whipped cream,yes,0.7325233221054077,high,food,whipped cream
kitchen equipment,oven,yes,0.8588113784790039,high,kitchen equipment,ovens
tool,brussels sprouts,no,0.10138904303312302,low,tools,brussels sprouts
vegetable,berry,no,0.8467801809310913,high,vegetables,berries
food,tomato sauce,yes,0.7782876491546631,high,food,tomato sauce
clothing,chest,no,0.6924442052841187,high,clothing,chests
protective clothing,cashew,no,0.1155855655670166,low,protective clothing,cashews
bird,wasp,no,0.9189439415931702,high,birds,wasps
electronic device,blender,yes,0.5746014714241028,high,electronic devices,blenders
sea animal,strap,no,0.1054723709821701,low,sea animals,straps
clothing,luggage,no,0.6166074275970459,high,clothing,luggage
school supply,notepad,yes,0.7743629217147827,high,school supplies,notepads
tool,cleaver,yes,0.743529200553894,high,tools,cleavers
school supply,eyeliner,no,0.7381284236907959,high,school supplies,eyeliners
drink,rifle,no,0.11646351218223572,low,drinks,rifles
livestock,chipmunk,no,0.9271957278251648,high,livestocks,chipmunks
kitchen equipment,waffle iron,yes,0.8182422518730164,high,kitchen equipment,waffle irons
vehicle,hearse,yes,0.8644039034843445,high,vehicles,hearses
food,pitcher,no,0.40680259466171265,high,food,pitchers
animal,nail clippers,no,0.11736834049224854,low,animals,nail clippers
food,vial,no,0.1379009187221527,low,food,vials
animal,antelope,yes,0.8923200964927673,high,animals,antelopes
tool,cane,no,0.7099937200546265,high,tools,canes
livestock,paperclip,no,0.09451567381620407,low,livestocks,paperclips
musical instrument,trombone,yes,0.9406842589378357,high,musical instruments,trombones
women's clothing,boa,yes,0.8918555974960327,high,women's clothes,boas
women's clothing,grain,no,0.15106146037578583,low,women's clothes,grains
fruit,broccoli,no,0.8731243014335632,high,fruits,broccoli
animal,scrabble,no,0.12295134365558624,low,animals,scrabble
toy,costume,no,0.8509552478790283,high,toys,costumes
office supply,mint,no,0.10459364205598831,low,office supplies,mint
container,enchilada,no,0.11550495028495789,low,containers,enchiladas
auto part,headrest,yes,0.6806840300559998,high,auto parts,headrests
electronic device,centrifuge,yes,0.8056607842445374,high,electronic devices,centrifuges
insect,fly,yes,0.9293708205223083,high,insects,flies
toy,doll,yes,0.875175952911377,high,toys,dolls
musical instrument,mandolin,yes,0.9187780022621155,high,musical instruments,mandolins
container,chicken,no,0.11219708621501923,low,containers,chicken
toiletry,pin,no,0.6417058706283569,high,toiletries,pins
breakfast,hamburger,yes,0.85459303855896,low,breakfasts,hamburgers
tool,broom,yes,0.7630844116210938,high,tools,brooms
tool,bikini,no,0.10353835672140121,low,tools,bikinis
container,ram,no,0.11580396443605423,low,containers,rams
clothing,plaster cast,no,0.7536451816558838,high,clothing,plaster casts
clothing,avocado,no,0.158866748213768,low,clothing,avocados
kitchen tool,duck,no,0.09811250865459442,low,kitchen tools,ducks
vehicle,minivan,yes,0.8455080986022949,high,vehicles,minivans
dessert,latte,no,0.8684988021850586,high,desserts,lattes
food,life jacket,no,0.15406420826911926,low,food,life jackets
vehicle,station wagon,yes,0.8619205355644226,high,vehicles,station wagons
weapon,blowgun,yes,0.6196655631065369,high,weapons,blowguns
outerwear,coat,yes,0.8868045210838318,high,outerwear,coats
clothing,footrest,no,0.7018021941184998,high,clothing,footrests
tool,spaghetti,no,0.0996270701289177,low,tools,spaghetti
food,cucumber,yes,0.7718363404273987,high,food,cucumbers
tool,duster,yes,0.48338839411735535,high,tools,dusters
clothing,cornucopia,no,0.15326514840126038,low,clothing,cornucopias
tool,jellyfish,no,0.09793351590633392,low,tools,jellyfish
tool,ant,no,0.09693198651075363,low,tools,ants
medical equipment,pillbox,yes,0.5522251725196838,high,medical equipment,pillboxes
container,bear,no,0.11119244992733002,low,containers,bears
dessert,punch,no,0.8527868390083313,high,desserts,fruit punches
breakfast,whip,no,0.10673779249191284,low,breakfasts,whips
vegetable,pepper,yes,0.858296275138855,high,vegetables,peppers
sea animal,oyster,yes,0.736785352230072,high,sea animals,oysters
animal,pig,yes,0.8798987865447998,high,animals,pigs
auto part,taillight,yes,0.7790457606315613,high,auto parts,taillights
animal,sloth,yes,0.8810098171234131,high,animals,sloths
food,walnut,yes,0.7669886350631714,high,food,walnuts
tool,staple gun,yes,0.8845112323760986,high,tools,staple guns
jewelry,sombrero,no,0.8000479936599731,high,jewelry,sombreros
seafood,seafood,yes,1.0,high,seafood,seafood
electronic device,waffle iron,yes,0.6740589141845703,high,electronic devices,waffle irons
container,bus,no,0.7736828923225403,high,containers,buses
clothing,calf,no,0.6526739597320557,high,clothing,calves
toy,music box,yes,0.48643648624420166,low,toys,music boxes
furniture,bassinet,yes,0.7384946346282959,high,furniture,bassinets
clothing,scarecrow,no,0.5886165499687195,high,clothing,scarecrows
food,fishbowl,no,0.353460431098938,high,food,fishbowls
breakfast,casserole,no,0.8959382176399231,high,breakfasts,casseroles
weapon,crowbar,yes,0.776965856552124,high,weapons,crowbars
bird,lock,no,0.08738244324922562,low,birds,locks
home decor,corsage,no,0.5391696691513062,high,home decor,corsages
school supply,stir fry,no,0.11416279524564743,low,school supplies,stir fry
weapon,tortellini,no,0.12497986853122711,low,weapons,tortellini
container,closet,yes,0.5117312073707581,low,containers,closets
plant,hedge,yes,0.9252063035964966,high,plants,hedges
food,roll,yes,0.7798343300819397,high,food,rolls
mammal,pig,yes,0.9142141342163086,high,mammals,pigs
tool,trident,yes,0.7984226942062378,high,tools,tridents
game,chalk,no,0.861726701259613,high,games,chalks
women's clothing,tiara,yes,0.7737360596656799,low,women's clothes,tiaras
kitchen equipment,chipmunk,no,0.08494707196950912,low,kitchen equipment,chipmunks
mammal,horse,yes,0.9175106287002563,high,mammals,horses
animal,videogame,no,0.11956500262022018,low,animals,videogames
mammal,calf,yes,0.9180801510810852,high,mammals,calves
clothing,hummus,no,0.1539643406867981,low,clothing,hummus
animal,grass,no,0.523835301399231,high,animals,grass
water vehicle,airboat,yes,0.8875442743301392,high,water vehicles,airboats
headwear,sombrero,yes,0.8151716589927673,high,headwear,sombreros
livestock,washing machine,no,0.094552181661129,low,livestocks,washing machines
food,notepad,no,0.13860173523426056,low,food,notepads
food,duckling,no,0.3386695981025696,high,food,ducklings
jewelry,cufflink,yes,0.9054155945777893,high,jewelry,cufflinks
food,pepper mill,no,0.47346407175064087,high,food,pepper mills
electronic device,juicer,yes,0.5717976093292236,high,electronic devices,juicers
clothing,tube top,yes,0.8543274402618408,high,clothing,tube tops
weapon,catapult,yes,0.660473108291626,high,weapons,catapults
kitchen tool,polar bear,no,0.09816676378250122,low,kitchen tools,polar bears
food,pumpkin,yes,0.7379329800605774,high,food,pumpkins
mammal,trombone,no,0.10044503211975098,low,mammals,trombones
fruit,machine gun,no,0.08597827702760696,low,fruits,machine guns
mammal,wheelchair,no,0.10296168923377991,low,mammals,wheelchairs
drink,drink,yes,1.0,high,drinks,drinks
school supply,mint,no,0.11463750153779984,low,school supplies,mint
weapon,grenade,yes,0.7478095293045044,high,weapons,grenades
fastener,bolt,yes,0.7004124522209167,high,fasteners,bolts
electronic device,watch,no,0.6218839883804321,high,electronic devices,watches
clothing,bathrobe,yes,0.8405210375785828,high,clothing,bathrobes
tool,sushi,no,0.10434617102146149,low,tools,sushi
tool,rifle,no,0.6877080202102661,high,tools,rifles
electronic device,blowfish,no,0.11842271685600281,low,electronic devices,blowfish
accessory,pants,no,0.7774187326431274,high,accessories,pants
container,shopping basket,yes,0.65345698595047,low,containers,shopping baskets
food,fruit,yes,0.7942683696746826,high,food,fruits
clothing,tie,yes,0.8600531220436096,high,clothing,ties
animal,mold,no,0.11721474677324295,low,animals,molds
animal,cilantro,no,0.4061921238899231,high,animals,cilantro
drink,lemonade,yes,0.9385351538658142,high,drinks,lemonades
fruit,banana,yes,0.830159068107605,high,fruits,bananas
toiletry,hairspray,yes,0.6259592771530151,high,toiletries,hairsprays
clothing,fishnet stockings,yes,0.8078493475914001,high,clothing,fishnet stockings
container,wok,yes,0.3018399178981781,low,containers,woks
outerwear,blazer,yes,0.845410168170929,high,outerwear,blazers
candy,kneepad,no,0.08912370353937149,low,candy,kneepads
outerwear,cantaloupe,no,0.13489075005054474,high,outerwear,cantaloupes
food,cup,no,0.4344559609889984,high,food,cups
school supply,marker,yes,0.7617524266242981,high,school supplies,markers
food,apple,yes,0.7655970454216003,high,food,apples
food,tiramisu,yes,0.7868849039077759,high,food,tiramisu
food,gyro,yes,0.8053513169288635,high,food,gyros
clothing,belt buckle,no,0.6437243223190308,high,clothing,belt buckles
breakfast,dumpling,no,0.8758622407913208,high,breakfasts,dumplings
animal,cockatoo,yes,0.8655728101730347,high,animals,cockatoos
food,shrimp,yes,0.7565141320228577,high,food,shrimps
fruit,iron,no,0.08761962503194809,low,fruits,irons
vehicle,spam,no,0.10821004956960678,low,vehicles,spam
toy,robot,yes,0.8931065201759338,high,toys,robots
mammal,cougar,yes,0.9183427095413208,high,mammals,cougars
food,potpourri,no,0.4849007725715637,high,food,potpourris
